feature,importance
log_ret,0.077723
daily_ret,0.06463
above_SMA20,0.060848
above_SMA50,0.053643
RSI_7,0.048498
vol_5,0.042414
BB_WIDTH,0.041317
change_pct,0.030784
return_lag1,0.021494
max_dd_20,0.02149
vol_10,0.020667
price_vs_SMA20,0.01987
drawdown,0.019167
price_vs_SMA50,0.018302
ROC_5,0.017194
momentum_5,0.016818
ATR_14,0.015665
price_range,0.015462
close_lag5,0.014866
RSI_14,0.014823
roll_std_5,0.014079
ATR_pct,0.013139
close_pos,0.012789
VWAP,0.012469
close_lag3,0.012229
close_lag2,0.010862
BB_PCT,0.010125
pclose,0.01003
vol_20,0.009555
close,0.009456
SMA_5,0.008917
price_vs_VWAP,0.008336
EMA_26,0.008082
BB_LOWER,0.007712
vol_ratio,0.007545
low,0.007326
roll_max_5,0.007252
ticker_enc,0.007176
return_lag2,0.006973
close_lag1,0.00659
roll_skew_10,0.006495
return_lag3,0.006469
roll_min_5,0.006441
month,0.006397
momentum_accel,0.00621
ROC_10,0.005753
BB_UPPER,0.005736
volume,0.005683
MACD_cross,0.005667
volume_log,0.005532
SMA_50,0.005531
OBV,0.005274
SMA20_vs_SMA50,0.005166
MACD,0.005132
SMA_20,0.005102
rel_vol,0.005022
vol_MA20,0.004929
high,0.004877
vol_MA5,0.004818
SMA20_slope,0.004633
BB_squeeze,0.004616
MACD_HIST,0.004559
momentum_10,0.004427
EMA_12,0.004356
return_lag5,0.004332
OBV_MA20,0.004089
SMA_10,0.004086
SMA50_slope,0.004014
ROC_20,0.003945
is_month_end,0.003936
vol_surge,0.003856
MACD_SIGNAL,0.003841
dow,0.003807
EMA_9,0.003708
quarter,0.002863
roll_mean_5,0.002377
